NBCNews,5352623,smkyorC5qwc,The Third Presidential Debate - LIVE WednesdayCOMMA October 19COMMA 2016 9 PM EST   
movieclipsTRAILERS,1299818,O2Bsw3lrhvs,The Boss Baby Official Trailer - Teaser (2017) - Alec Baldwin Movie   
PorterRobinsonMusic,2733793,hKfNp8NU82o,Melania Trump Blames Everyone But Donald For His Locker Room Talk   
FoxMovies,952234,lh86eTDEboA,The Real Reasons We Don&#39;t Hear From Johnny Knoxville Anymore   
LastWeekTonight,2797803,fzQ6gRAEoy0,Porter Robinson &amp; Madeon - Shelter (Official Video) (Short Film with A-1 Pictures &amp; Crunchyroll)   
unboxtherapy,4990357,4haJD6W136c,Assassin’s Creed | Official Trailer 2 [HD] | 20th Century FOX   
screenjunkies,2047585,k3O01EfM5fU,Third Parties: Last Week Tonight with John Oliver (HBO)   
Americanvogue,2052287,qW2-TIbcTIg,iPhone 7 - What Apple Doesn&#39;t Want You To Know   
CinemaSins,1783791,hDc8PVCvfKs,Rigging the Election - Video II:  Mass Voter Fraud   
VetRanch,1760191,_4LDlBCkA2g,Honest Trailers - Ghostbusters (2016)   
rhettandlink2,708748,N8HqyuLBqnU,73 Questions With Emma Stone | Vogue   
LadyGagaVEVO,449418,Pzu3lVH0MYI,Everything Wrong With Jack Reacher In 13 Minutes Or Less   
ZeroMediaHD,797305,OTnmHbOQ7pg,HuskyCOMMA Ugly to Beautiful   
Filme,1333444,pnIeQB1SMEc,5 Craziest Looking Prehistoric Creatures | RANKED   
ZeroMediaHD,1495057,-l5G5BT8-fQ,Lady Gaga - A-YO (Audio)   
ZeroMediaHD,4988498,smkyorC5qwc,Army of One Official Trailer #1 (2016) Nicolas CageCOMMA Russell Brand Comedy Movie HD   
swtheoldrepublic,5854394,RYsPEl-xOv0,Star Wars: Rogue One (2016) FINAL TRAILER - Felicity Jones Movie HD [F-M]   
starwars,4317740,McPq8FPgl6c,JUSTICE LEAGUE Trailer &amp; Setvisit (2017)   
starwars,2753158,VyadyxuTVPo,John Wick: Chapter 2 Official Trailer #1 (2017) Keanu Reeves Action Movie HD   
LionsgateLIVE,3278195,XGk2EfbD_Ps,Rogue One: A Star Wars Story Official Trailer #3 (2016) Felicity Jones Movie HD   
ScreenRant,12831080,4fE_yHEerok,STAR WARS: The Old Republic – Knights of the Eternal Throne – &quot;Betrayed&quot; Trailer   
Filme,24352485,LbpDxrew4A0,Rogue One: A Star Wars Story Trailer #2 (Official)   
NewOnNetflix,18347768,sC9abcLLQpI,Rogue One: A Star Wars Story Trailer (Official)   
LionsgateLIVE,874799,frdj1zb9sMY,Power Rangers (2017 Movie) Official Teaser Trailer – ‘Discover The Power’   
movieclipsTRAILERS,1643108,Q-C4qqsgs8w,10 Controversial Disney Movies That Caused Serious Problems   
LionsgateLIVE,3700998,j-IkZ1lAVdw,All Movie Trailers of New York Comic-Con (2016) Power RangersCOMMA John Wick 2...   
henryhharold,4915121,pWOH-OZQUj0,Marvel&#39;s Iron Fist | NYCC Teaser Trailer [HD] | Netflix   
ShuffleZuru,1062339,0sEJeWB3RA8,John Wick: Chapter 2 (2017 Movie) Official Teaser Trailer - &#39;Good To See You Again&#39;   
CircumciseYourHeart,2447977,nMqETeQrgqU,Army of One Official Trailer 1 (2016) - Nicolas Cage Movie   
AIODocumentaries,435573,98oxZOM_niU,Boo! A Madea Halloween (2016 Movie – Tyler Perry) Official Trailer – ‘Trick Or Treat’   
DisclosureDiscovery,245880,-sPHseSGr9Q,Saddam Hussein - The Truth  (Documentary)   
StalkerJS,1416839,ggFWwKDnqtg,Inside the Body of King Henry VIII.   
TheWeekndVEVO,6351855,845SszVoN_M,U.S Army Most Feared Deadly Tanks Ever  - Full Documentary   
ElektraRecords,3360807,xuLI8Uj3vUs,Longest Sniper Kill Ever ! 1.5 mile   
ChainsmokersVEVO,1018919,wVHEHgnOSOI,The Real Noah&#39;s Ark Found in Turkey: Phenomenon Archives Documentary (ReUpload)   
SiaVEVO,1606200,i7iycpe16V0,Billionaire Wives - Special  Documentary - Living a like a Billionaire&#39;s Wife .   
DJKhaledVEVO,1619747,XxxPRM7hmAo,Pablo Escobar Documentary - The King of Coke   
AtlanticVideos,2385533,XKPF_g-iHdE,The World&#39;s Strongest Material - BBC Documentary   
CharliesVlogs,1077577,ePCI7BTlEnY,The Discovery of 1COMMA750COMMA000 Year Old Man Made Bridge (DOCUMENTARY)   
CalvinHarrisVEVO,1269986,IwmSFDA8jm8,Jeremy Clarkson - Inventions That Changed the World Gun (Rus sub)   
UsherVEVO,1130576,m_uMxwUs308,World&#39;s Most Advanced Unbeatable Special Forces Ever - Full Documentary   
LILUZIVERT,1333661,f_cZe4igdt8,The Trial of Saddam Hussein (BBC ORIGINAL)   
YGVEVO,452467,2nPefUU_p1g,Vietnam in HD Ep.02 : Search &amp; Destroy | Full Documentary 2015 of History Channel   
RaeSremmurdVEVO,2089565,n5aa-GjkREM,Ultimate Defense and Hideouts - Bunker Documentary - DOCS CHANNEL   
FrenchMontanaVEVO,96149344,0UxMzO1YiqI,fifth richest man of the world prince alwaleed   
ChrisBrownVEVO,44268417,-DHB_u_vKDU,The Weeknd - Starboy ft. Daft Punk   
TheOfficialSkrillex,482986448,34Na4j8AVgA,Bruno Mars - 24K Magic [Official Video]   
WatchMojo,136505603,UqyT8IEBkvY,The Chainsmokers - Closer (Lyric) ft. Halsey   
WatchMojo,21061368,PT2_F-1esPk,Sia - The Greatest   
WatchMojo,184249664,GKSRyLdjsPA,DJ Khaled - Do You Mind ft. Nicki MinajCOMMA Chris BrownCOMMA August AlsinaCOMMA JeremihCOMMA FutureCOMMA Rick Ross   
WatchMojo,282091976,_xGhK6qgPtM,Sucker for Pain - Lil WayneCOMMA Wiz Khalifa &amp; Imagine Dragons w/ Logic &amp; Ty Dolla $ign ft X Ambassadors   
WatchMojo,819154712,-59jGD4WrmE,Charlie Puth - We Don&#39;t Talk Anymore (feat. Selena Gomez) [Official Video]   
WatchMojo,54674110,3AtDnEC4zak,Calvin Harris - This Is What You Came For (Official Video) ft. Rihanna   
WatchMojo,33031145,kOkQ4T5WO9E,Usher - No Limit ft. Young Thug   
WatchMojo,33071860,3w0yqAdJ1iY,Lil Uzi Vert - Money Longer   
WatchMojo,17864036,1eoSanFCU-M,YG - Why You Always Hatin? ft. DrakeCOMMA Kamaiyah   
WatchMojo,48041682,HkVS79y4p4Y,Rae Sremmurd - Black Beatles ft. Gucci Mane   
WatchMojo,25814186,b8m9zhNAgKs,French Montana - No Shopping ft. Drake   
latenight,130946325,mDU-5jwPKmQ,Chris Brown - Grass Ain&#39;t Greener   
jeffdunham,1669677,elsAYGFVMdY,Skrillex &amp; Rick Ross - Purple Lamborghini [Official Video]   
latenight,561212,ZkqyIoYAXV8,Top 10 Game Show Scandals   
comedycentral,17200972,p4a0F-7LWt4,Top 10 Movie Villains That Are Just Plain Bad   
KjevL,9270847,6kw3Y_flZCU,Top 10 Movie Couples Who Hated Each Other in Real Life   
bigthink,5618822,smgP8-drkL8,Top 10 TV Crossovers   
TheEllenShow,456093,sJzaNzPJqWI,Top 10 Monty Python Movie Moments   
pennpoint,5312368,XCnK3B7Ftow,Top 10 D*ck Moves While Playing Video Games   
SaturdayNightLive,455143,pTZQOspwX7k,Top 10 Real Time Strategy Games   
TheLaughFactory,565102,2_9FToybfIY,Top 10 Savage Celebrity Roasters   
SaturdayNightLive,838199,3LQyVaK_Smw,Another Top 10 Most Powerful Anime Characters   
7ikey,533449,rFRtaPq4MNU,Top 10 Visual Effects You Thought Were Real   
buzzfeedblue,10642174,utmgNd1sAqU,Top 10 Huge Events Completely Overshadowed By Other Events   
NFL,30557769,lWdv-FOWPA4,Jimmy and Kevin Hart Visit a Haunted House   
NFL,11822537,ozVRGho-cZQ,Achmed the Dead Terrorist Has a Son - Jeff Dunham - Controlled Chaos | JEFF DUNHAM   
